Age,Sex,province,education,total_count,education_level
25 to 34,Female,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),620,University certificate or diploma below bachelor level
35 to 44,Both sexes,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",65035,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",6615,Other
35 to 44,Both sexes,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),13250,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),7405,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",21265,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),1490,University certificate or diploma below bachelor level
35 to 44,Male,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",31400,"Highest certificate, diploma or degree"
35 to 44,Male,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",3895,Other
35 to 44,Male,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),6425,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),5600,Apprenticeship or trades certificate or diploma
35 to 44,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",8905,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),670,University certificate or diploma below bachelor level
35 to 44,Female,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",33635,"Highest certificate, diploma or degree"
35 to 44,Female,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",2715,Other
35 to 44,Female,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),6830,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),1810,Apprenticeship or trades certificate or diploma
35 to 44,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",12360,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),820,University certificate or diploma below bachelor level
45 to 54,Both sexes,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",80935,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",13950,Other
45 to 54,Both sexes,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),17530,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),10475,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",24730,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),1835,University certificate or diploma below bachelor level
45 to 54,Male,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",39200,"Highest certificate, diploma or degree"
45 to 54,Male,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",7610,Other
45 to 54,Male,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),7990,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),7490,Apprenticeship or trades certificate or diploma
45 to 54,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",10075,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),780,University certificate or diploma below bachelor level
45 to 54,Female,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",41735,"Highest certificate, diploma or degree"
45 to 54,Female,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",6335,Other
45 to 54,Female,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),9535,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),2980,Apprenticeship or trades certificate or diploma
45 to 54,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",14655,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),1065,University certificate or diploma below bachelor level
55 to 64,Both sexes,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",84495,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",20020,Other
55 to 64,Both sexes,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),21640,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),11060,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",20020,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),2085,University certificate or diploma below bachelor level
55 to 64,Male,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",41100,"Highest certificate, diploma or degree"
55 to 64,Male,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",9845,Other
55 to 64,Male,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),9445,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),7965,Apprenticeship or trades certificate or diploma
55 to 64,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",8170,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),875,University certificate or diploma below bachelor level
55 to 64,Female,Newfoundland and Labrador,"Total - Highest certificate, diploma or degree (2016 counts)",43385,"Highest certificate, diploma or degree"
55 to 64,Female,Newfoundland and Labrador,"No certificate, diploma or degree (2016 counts)",10175,Other
55 to 64,Female,Newfoundland and Labrador,Secondary (high) school diploma or equivalency certificate (2016 counts),12195,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Newfoundland and Labrador,Apprenticeship or trades certificate or diploma (2016 counts),3095,Apprenticeship or trades certificate or diploma
55 to 64,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma (2016 counts)",11855,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Newfoundland and Labrador,University certificate or diploma below bachelor level (2016 counts),1205,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",117055,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",22425,Other
"All ages, 15-plus",Both sexes,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),31810,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Prince Edward Island,Apprenticeship or trades certificate or diploma (2016 counts),9480,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma (2016 counts)",27860,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Prince Edward Island,University certificate or diploma below bachelor level (2016 counts),3065,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Prince Edward Island,"Total - Highest certificate, diploma or degree (2016 counts)",56365,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Prince Edward Island,"No certificate, diploma or degree (2016 counts)",12550,Other
"All ages, 15-plus",Male,Prince Edward Island,Secondary (high) school diploma or equivalency certificate (2016 counts),16055,Secondary (high) school diploma or equivalency certificate
