Age,Sex,province,education,total_count,education_level
45 to 54,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",91830,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,British Columbia,University certificate or diploma below bachelor level (2016 counts),16400,University certificate or diploma below bachelor level
55 to 64,Both sexes,British Columbia,"Total - Highest certificate, diploma or degree (2016 counts)",669925,"Highest certificate, diploma or degree"
55 to 64,Both sexes,British Columbia,"No certificate, diploma or degree (2016 counts)",90320,Other
55 to 64,Both sexes,British Columbia,Secondary (high) school diploma or equivalency certificate (2016 counts),197945,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,British Columbia,Apprenticeship or trades certificate or diploma (2016 counts),69560,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,British Columbia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",142700,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,British Columbia,University certificate or diploma below bachelor level (2016 counts),22290,University certificate or diploma below bachelor level
55 to 64,Male,British Columbia,"Total - Highest certificate, diploma or degree (2016 counts)",321365,"Highest certificate, diploma or degree"
55 to 64,Male,British Columbia,"No certificate, diploma or degree (2016 counts)",47300,Other
55 to 64,Male,British Columbia,Secondary (high) school diploma or equivalency certificate (2016 counts),83950,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,British Columbia,Apprenticeship or trades certificate or diploma (2016 counts),53235,Apprenticeship or trades certificate or diploma
55 to 64,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",55885,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,British Columbia,University certificate or diploma below bachelor level (2016 counts),8585,University certificate or diploma below bachelor level
55 to 64,Female,British Columbia,"Total - Highest certificate, diploma or degree (2016 counts)",348555,"Highest certificate, diploma or degree"
55 to 64,Female,British Columbia,"No certificate, diploma or degree (2016 counts)",43025,Other
55 to 64,Female,British Columbia,Secondary (high) school diploma or equivalency certificate (2016 counts),113995,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,British Columbia,Apprenticeship or trades certificate or diploma (2016 counts),16325,Apprenticeship or trades certificate or diploma
55 to 64,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma (2016 counts)",86810,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,British Columbia,University certificate or diploma below bachelor level (2016 counts),13710,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",28880,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Yukon,"No certificate, diploma or degree (2016 counts)",4710,Other
"All ages, 15-plus",Both sexes,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),6830,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),3140,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",6115,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Yukon,University certificate or diploma below bachelor level (2016 counts),820,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",14310,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Yukon,"No certificate, diploma or degree (2016 counts)",2635,Other
"All ages, 15-plus",Male,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),3325,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),2450,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2520,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Yukon,University certificate or diploma below bachelor level (2016 counts),320,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",14570,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Yukon,"No certificate, diploma or degree (2016 counts)",2075,Other
"All ages, 15-plus",Female,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),3505,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),695,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3600,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Yukon,University certificate or diploma below bachelor level (2016 counts),500,University certificate or diploma below bachelor level
25 to 64,Both sexes,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",21030,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Yukon,"No certificate, diploma or degree (2016 counts)",2250,Other
25 to 64,Both sexes,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),4400,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),2395,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",4975,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Yukon,University certificate or diploma below bachelor level (2016 counts),670,University certificate or diploma below bachelor level
25 to 64,Male,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",10190,"Highest certificate, diploma or degree"
25 to 64,Male,Yukon,"No certificate, diploma or degree (2016 counts)",1395,Other
25 to 64,Male,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),2060,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),1880,Apprenticeship or trades certificate or diploma
25 to 64,Male,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2020,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Yukon,University certificate or diploma below bachelor level (2016 counts),255,University certificate or diploma below bachelor level
25 to 64,Female,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",10840,"Highest certificate, diploma or degree"
25 to 64,Female,Yukon,"No certificate, diploma or degree (2016 counts)",855,Other
25 to 64,Female,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),2335,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),520,Apprenticeship or trades certificate or diploma
25 to 64,Female,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2955,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Yukon,University certificate or diploma below bachelor level (2016 counts),410,University certificate or diploma below bachelor level
25 to 34,Both sexes,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",5350,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Yukon,"No certificate, diploma or degree (2016 counts)",505,Other
25 to 34,Both sexes,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),1285,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),530,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1160,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Yukon,University certificate or diploma below bachelor level (2016 counts),135,University certificate or diploma below bachelor level
25 to 34,Male,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2555,"Highest certificate, diploma or degree"
25 to 34,Male,Yukon,"No certificate, diploma or degree (2016 counts)",315,Other
25 to 34,Male,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),640,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),420,Apprenticeship or trades certificate or diploma
25 to 34,Male,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",490,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Yukon,University certificate or diploma below bachelor level (2016 counts),55,University certificate or diploma below bachelor level
25 to 34,Female,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2800,"Highest certificate, diploma or degree"
25 to 34,Female,Yukon,"No certificate, diploma or degree (2016 counts)",195,Other
25 to 34,Female,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),650,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),110,Apprenticeship or trades certificate or diploma
25 to 34,Female,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",675,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Yukon,University certificate or diploma below bachelor level (2016 counts),80,University certificate or diploma below bachelor level
35 to 44,Both sexes,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",5030,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Yukon,"No certificate, diploma or degree (2016 counts)",365,Other
35 to 44,Both sexes,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),865,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),495,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1255,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Yukon,University certificate or diploma below bachelor level (2016 counts),185,University certificate or diploma below bachelor level
35 to 44,Male,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2340,"Highest certificate, diploma or degree"
35 to 44,Male,Yukon,"No certificate, diploma or degree (2016 counts)",215,Other
35 to 44,Male,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),450,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),360,Apprenticeship or trades certificate or diploma
35 to 44,Male,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",490,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Yukon,University certificate or diploma below bachelor level (2016 counts),80,University certificate or diploma below bachelor level
35 to 44,Female,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2690,"Highest certificate, diploma or degree"
35 to 44,Female,Yukon,"No certificate, diploma or degree (2016 counts)",150,Other
35 to 44,Female,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),415,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),135,Apprenticeship or trades certificate or diploma
35 to 44,Female,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",765,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Yukon,University certificate or diploma below bachelor level (2016 counts),105,University certificate or diploma below bachelor level
45 to 54,Both sexes,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",5225,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Yukon,"No certificate, diploma or degree (2016 counts)",640,Other
45 to 54,Both sexes,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),1140,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),580,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1300,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Yukon,University certificate or diploma below bachelor level (2016 counts),170,University certificate or diploma below bachelor level
45 to 54,Male,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2555,"Highest certificate, diploma or degree"
45 to 54,Male,Yukon,"No certificate, diploma or degree (2016 counts)",415,Other
45 to 54,Male,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),565,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),445,Apprenticeship or trades certificate or diploma
45 to 54,Male,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",470,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Yukon,University certificate or diploma below bachelor level (2016 counts),65,University certificate or diploma below bachelor level
45 to 54,Female,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2670,"Highest certificate, diploma or degree"
45 to 54,Female,Yukon,"No certificate, diploma or degree (2016 counts)",230,Other
45 to 54,Female,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),570,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),135,Apprenticeship or trades certificate or diploma
45 to 54,Female,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",825,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Yukon,University certificate or diploma below bachelor level (2016 counts),105,University certificate or diploma below bachelor level
55 to 64,Both sexes,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",5430,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Yukon,"No certificate, diploma or degree (2016 counts)",740,Other
55 to 64,Both sexes,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),1120,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),790,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1260,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Yukon,University certificate or diploma below bachelor level (2016 counts),180,University certificate or diploma below bachelor level
55 to 64,Male,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2745,"Highest certificate, diploma or degree"
55 to 64,Male,Yukon,"No certificate, diploma or degree (2016 counts)",450,Other
55 to 64,Male,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),415,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),655,Apprenticeship or trades certificate or diploma
55 to 64,Male,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",570,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Yukon,University certificate or diploma below bachelor level (2016 counts),55,University certificate or diploma below bachelor level
55 to 64,Female,Yukon,"Total - Highest certificate, diploma or degree (2016 counts)",2685,"Highest certificate, diploma or degree"
55 to 64,Female,Yukon,"No certificate, diploma or degree (2016 counts)",285,Other
55 to 64,Female,Yukon,Secondary (high) school diploma or equivalency certificate (2016 counts),705,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Yukon,Apprenticeship or trades certificate or diploma (2016 counts),135,Apprenticeship or trades certificate or diploma
55 to 64,Female,Yukon,"College, CEGEP or other non-university certificate or diploma (2016 counts)",690,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Yukon,University certificate or diploma below bachelor level (2016 counts),125,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",32330,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Northwest Territories,"No certificate, diploma or degree (2016 counts)",8860,Other
"All ages, 15-plus",Both sexes,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),6915,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),3165,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",6115,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),805,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",16475,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Northwest Territories,"No certificate, diploma or degree (2016 counts)",4745,Other
"All ages, 15-plus",Male,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),3510,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),2475,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2730,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),325,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",15855,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Northwest Territories,"No certificate, diploma or degree (2016 counts)",4115,Other
"All ages, 15-plus",Female,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),3410,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),690,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",3385,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),480,University certificate or diploma below bachelor level
25 to 64,Both sexes,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",23610,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Northwest Territories,"No certificate, diploma or degree (2016 counts)",4845,Other
25 to 64,Both sexes,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),4570,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),2615,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",5135,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),650,University certificate or diploma below bachelor level
25 to 64,Male,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",11885,"Highest certificate, diploma or degree"
25 to 64,Male,Northwest Territories,"No certificate, diploma or degree (2016 counts)",2650,Other
25 to 64,Male,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),2325,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),2045,Apprenticeship or trades certificate or diploma
25 to 64,Male,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2245,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),265,University certificate or diploma below bachelor level
25 to 64,Female,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",11725,"Highest certificate, diploma or degree"
25 to 64,Female,Northwest Territories,"No certificate, diploma or degree (2016 counts)",2195,Other
25 to 64,Female,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),2250,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),570,Apprenticeship or trades certificate or diploma
25 to 64,Female,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",2890,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),385,University certificate or diploma below bachelor level
25 to 34,Both sexes,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",6785,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Northwest Territories,"No certificate, diploma or degree (2016 counts)",1330,Other
25 to 34,Both sexes,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),1600,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),605,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1265,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),135,University certificate or diploma below bachelor level
25 to 34,Male,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",3355,"Highest certificate, diploma or degree"
25 to 34,Male,Northwest Territories,"No certificate, diploma or degree (2016 counts)",770,Other
25 to 34,Male,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),810,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),470,Apprenticeship or trades certificate or diploma
25 to 34,Male,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",610,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),70,University certificate or diploma below bachelor level
25 to 34,Female,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",3420,"Highest certificate, diploma or degree"
25 to 34,Female,Northwest Territories,"No certificate, diploma or degree (2016 counts)",565,Other
25 to 34,Female,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),790,Secondary (high) school diploma or equivalency certificate
25 to 34,Female,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),140,Apprenticeship or trades certificate or diploma
25 to 34,Female,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",660,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Female,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),65,University certificate or diploma below bachelor level
35 to 44,Both sexes,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",5965,"Highest certificate, diploma or degree"
35 to 44,Both sexes,Northwest Territories,"No certificate, diploma or degree (2016 counts)",1090,Other
35 to 44,Both sexes,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),1035,Secondary (high) school diploma or equivalency certificate
35 to 44,Both sexes,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),615,Apprenticeship or trades certificate or diploma
35 to 44,Both sexes,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1275,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Both sexes,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),145,University certificate or diploma below bachelor level
35 to 44,Male,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",2945,"Highest certificate, diploma or degree"
35 to 44,Male,Northwest Territories,"No certificate, diploma or degree (2016 counts)",605,Other
35 to 44,Male,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),575,Secondary (high) school diploma or equivalency certificate
35 to 44,Male,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),480,Apprenticeship or trades certificate or diploma
35 to 44,Male,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",530,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Male,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),55,University certificate or diploma below bachelor level
35 to 44,Female,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",3025,"Highest certificate, diploma or degree"
35 to 44,Female,Northwest Territories,"No certificate, diploma or degree (2016 counts)",490,Other
35 to 44,Female,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),460,Secondary (high) school diploma or equivalency certificate
35 to 44,Female,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),135,Apprenticeship or trades certificate or diploma
35 to 44,Female,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",740,"College, CEGEP or other non-university certificate or diploma"
35 to 44,Female,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),95,University certificate or diploma below bachelor level
45 to 54,Both sexes,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",6010,"Highest certificate, diploma or degree"
45 to 54,Both sexes,Northwest Territories,"No certificate, diploma or degree (2016 counts)",1375,Other
45 to 54,Both sexes,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),1070,Secondary (high) school diploma or equivalency certificate
45 to 54,Both sexes,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),745,Apprenticeship or trades certificate or diploma
45 to 54,Both sexes,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1500,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Both sexes,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),185,University certificate or diploma below bachelor level
45 to 54,Male,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",3075,"Highest certificate, diploma or degree"
45 to 54,Male,Northwest Territories,"No certificate, diploma or degree (2016 counts)",740,Other
45 to 54,Male,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),520,Secondary (high) school diploma or equivalency certificate
45 to 54,Male,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),570,Apprenticeship or trades certificate or diploma
45 to 54,Male,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",645,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Male,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),75,University certificate or diploma below bachelor level
45 to 54,Female,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",2940,"Highest certificate, diploma or degree"
45 to 54,Female,Northwest Territories,"No certificate, diploma or degree (2016 counts)",640,Other
45 to 54,Female,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),545,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),180,Apprenticeship or trades certificate or diploma
45 to 54,Female,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",855,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),110,University certificate or diploma below bachelor level
55 to 64,Both sexes,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",4855,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Northwest Territories,"No certificate, diploma or degree (2016 counts)",1045,Other
55 to 64,Both sexes,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),865,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),645,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",1095,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),185,University certificate or diploma below bachelor level
55 to 64,Male,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",2510,"Highest certificate, diploma or degree"
55 to 64,Male,Northwest Territories,"No certificate, diploma or degree (2016 counts)",545,Other
55 to 64,Male,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),410,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),530,Apprenticeship or trades certificate or diploma
55 to 64,Male,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",465,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Northwest Territories,University certificate or diploma below bachelor level (2016 counts),70,University certificate or diploma below bachelor level
55 to 64,Female,Northwest Territories,"Total - Highest certificate, diploma or degree (2016 counts)",2345,"Highest certificate, diploma or degree"
55 to 64,Female,Northwest Territories,"No certificate, diploma or degree (2016 counts)",500,Other
55 to 64,Female,Northwest Territories,Secondary (high) school diploma or equivalency certificate (2016 counts),455,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Northwest Territories,Apprenticeship or trades certificate or diploma (2016 counts),120,Apprenticeship or trades certificate or diploma
55 to 64,Female,Northwest Territories,"College, CEGEP or other non-university certificate or diploma (2016 counts)",630,"College, CEGEP or other non-university certificate or diploma"
